,Max,Avg,Min,Max.1,Avg.1,Min.1,Max.2,Avg.2,Min.2,Max.3,Avg.3,Min.3,Max.4,Avg.4,Min.4,Total,MOTOR OIL
2018-07-29,88,77.4,68,68,65.6,64,88,68.3,48,22,22,22,29.5,29.4,29.4,0.0,9923123.0
2018-07-30,90,81.7,73,66,64.0,63,73,56.1,40,18,18,18,29.5,29.4,29.4,0.0,9487574.0
2018-07-31,88,81.0,73,68,64.3,63,78,57.2,45,21,21,21,29.5,29.5,29.4,0.0,8867949.0
2018-08-01,90,81.5,72,68,65.4,63,88,60.3,43,17,17,17,29.6,29.5,29.5,0.0,8973411.0
2018-08-02,91,82.2,70,68,65.1,63,83,58.3,43,22,22,22,29.6,29.6,29.5,0.0,8252105.0
2018-08-03,90,84.2,79,66,58.0,52,61,42.2,29,30,30,30,29.6,29.5,29.5,0.0,7886452.0
2018-08-04,90,83.5,77,64,57.3,54,65,41.9,29,30,30,30,29.6,29.5,29.5,0.0,7824533.0
2018-08-05,88,82.8,77,59,55.8,52,51,40.2,31,26,26,26,29.6,29.6,29.5,0.0,8589610.0
2018-08-06,91,84.6,77,54,50.5,45,44,31.4,22,23,23,23,29.6,29.6,29.6,0.0,8653145.0
2018-08-07,93,83.9,73,57,50.9,46,47,32.3,23,23,23,23,29.6,29.6,29.6,0.0,8734365.0
2018-08-08,91,84.0,72,61,53.9,48,50,35.9,26,25,25,25,29.6,29.6,29.6,0.0,8603615.0
2018-08-09,88,83.4,79,63,58.6,52,57,43.5,31,28,28,28,29.7,29.6,29.6,0.0,8888431.0
2018-08-10,88,81.6,77,63,59.7,55,54,47.3,40,31,31,31,29.7,29.7,29.6,0.0,9501309.0
2018-08-11,84,79.3,75,61,57.4,54,61,47.5,35,30,30,30,29.7,29.7,29.6,0.0,9759254.0
2018-08-12,84,78.7,73,61,54.6,45,61,44.2,30,28,28,28,29.7,29.6,29.6,0.0,9528852.0
2018-08-13,86,79.1,73,61,54.6,48,57,43.0,33,24,24,24,29.6,29.6,29.6,0.0,9343777.0
2018-08-14,88,79.1,72,63,55.4,50,57,44.5,29,24,24,24,29.6,29.5,29.5,0.0,9870701.0
2018-08-15,88,79.3,68,61,54.9,48,56,43.9,27,23,23,23,29.6,29.5,29.5,0.0,9914193.0
2018-08-16,90,79.4,66,63,55.4,50,68,45.5,26,16,16,16,29.6,29.5,29.5,0.0,9530095.0
2018-08-17,90,79.1,68,63,58.0,52,73,49.9,31,14,14,14,29.6,29.5,29.5,0.0,8991777.0
2018-08-18,93,83.1,70,61,54.4,46,69,39.4,24,25,25,25,29.6,29.5,29.5,0.0,9039971.0
2018-08-19,90,85.6,81,59,55.3,50,45,35.7,30,28,28,28,29.6,29.5,29.5,0.0,9032825.0
2018-08-20,88,82.2,77,59,56.3,52,54,41.7,31,26,26,26,29.5,29.5,29.5,0.0,9470625.0
2018-08-21,86,79.8,75,63,54.7,48,65,42.6,30,25,25,25,29.6,29.6,29.5,0.0,9744575.0
2018-08-22,88,80.1,75,63,55.8,50,57,43.8,31,26,26,26,29.6,29.6,29.6,0.0,9838694.0
2018-08-23,86,80.2,72,61,57.0,54,57,45.4,35,25,25,25,29.6,29.5,29.5,0.0,9648291.0
2018-08-24,86,79.7,73,64,60.2,54,69,51.3,39,22,22,22,29.5,29.5,29.5,0.0,9859060.0
2018-08-25,88,76.3,68,68,62.6,59,83,63.9,38,9,9,9,29.5,29.5,29.5,0.0,9415655.0
2018-08-26,90,78.8,66,70,65.1,61,83,64.7,43,14,14,14,29.5,29.4,29.4,0.0,9544777.0
2018-08-27,90,79.0,72,72,64.2,59,83,60.9,40,21,21,21,29.4,29.4,29.4,0.0,10411958.0
2018-08-28,82,76.8,72,64,60.5,55,73,57.3,44,21,21,21,29.5,29.4,29.4,0.0,10004544.0
2018-08-29,90,82.4,75,61,56.6,50,61,42.3,27,24,24,24,29.6,29.5,29.5,0.0,9683229.0
2018-08-30,88,83.1,77,57,52.6,48,44,35.1,27,21,21,21,29.6,29.6,29.6,0.0,9358862.0
2018-08-31,91,82.9,73,57,53.1,48,47,36.0,28,24,24,24,29.6,29.6,29.6,0.0,10070426.0
2018-09-01,91,83.0,73,54,51.6,46,50,34.1,26,23,23,23,29.6,29.6,29.6,0.0,10334022.0
2018-09-02,95,84.7,73,55,48.6,45,39,29.1,19,23,23,23,29.6,29.6,29.6,0.0,10707061.0
2018-09-03,91,83.7,73,61,52.3,45,57,34.8,25,17,17,17,29.6,29.5,29.5,0.0,9864796.0
2018-09-04,90,80.6,70,66,59.3,52,78,51.4,27,13,13,13,29.5,29.5,29.4,0.0,9281158.0
2018-09-05,90,79.3,70,64,56.8,46,73,48.9,22,14,14,14,29.5,29.4,29.4,0.0,10251803.0
2018-09-06,86,75.8,63,63,58.8,54,78,57.3,35,12,12,12,29.5,29.5,29.5,0.0,8287354.0
2018-09-07,86,77.9,70,66,61.3,54,73,57.8,33,14,14,14,29.6,29.5,29.5,0.0,7271677.0
2018-09-08,90,74.3,68,64,62.4,55,83,68.0,35,20,20,20,29.6,29.6,29.5,0.0,8228675.0
2018-09-09,86,76.4,68,64,60.9,57,83,60.7,37,20,20,20,29.7,29.7,29.6,0.0,8231072.0
2018-09-10,90,75.2,63,63,55.5,46,88,53.9,27,22,22,22,29.8,29.7,29.7,0.0,8061853.0
2018-09-11,86,73.7,61,61,55.2,50,88,54.8,29,15,15,15,29.8,29.8,29.7,0.0,8383096.0
2018-09-12,84,74.0,61,59,53.7,50,77,50.4,33,25,25,25,29.8,29.7,29.7,0.0,8911242.0
2018-09-13,82,74.0,66,61,57.1,54,73,56.4,42,23,23,23,29.7,29.6,29.6,0.0,9522685.0
2018-09-14,82,72.2,59,63,57.2,54,82,60.9,39,9,9,9,29.7,29.7,29.6,0.0,9419060.0
2018-09-15,84,74.0,61,59,55.8,50,88,55.9,32,12,12,12,29.7,29.7,29.7,0.0,9046454.0
2018-09-16,86,75.2,61,63,56.5,50,82,54.4,32,16,16,16,29.8,29.7,29.7,0.0,9256499.0
2018-09-17,82,77.3,72,61,57.3,52,57,50.1,42,25,25,25,29.8,29.8,29.7,0.0,9478375.0
2018-09-18,81,75.0,72,59,53.4,50,60,47.7,34,30,30,30,29.8,29.8,29.7,0.0,9856128.0
2018-09-19,79,73.9,70,57,53.0,48,64,48.7,34,28,28,28,29.8,29.8,29.7,0.0,10026432.0
2018-09-20,81,74.4,70,57,53.0,48,64,48.6,34,26,26,26,29.7,29.7,29.7,0.0,10246794.0
2018-09-21,79,74.0,68,59,55.0,50,60,52.0,44,22,22,22,29.7,29.7,29.7,0.0,9478597.0
2018-09-22,82,71.4,59,63,55.0,48,73,57.5,42,16,16,16,29.7,29.7,29.7,0.0,9303446.0
2018-09-23,86,72.3,59,59,55.0,50,94,58.5,29,17,17,17,29.8,29.7,29.7,0.0,9634829.0
2018-09-24,88,73.1,54,66,54.3,45,83,55.3,29,16,16,16,29.7,29.6,29.6,0.0,9038649.0
2018-09-25,75,68.4,64,63,53.3,43,83,59.4,45,35,35,35,29.9,29.7,29.6,0.0,10394119.0
2018-09-26,68,64.3,63,45,41.8,39,49,43.8,37,48,48,48,29.9,29.9,29.8,0.0,10797065.0
2018-09-27,66,62.6,61,54,48.2,43,72,59.2,48,40,40,40,29.8,29.8,29.8,0.0,10797894.0
2018-09-28,66,63.6,61,57,54.6,52,82,72.5,64,32,32,32,29.7,29.7,29.6,0.0,10533591.0
2018-09-29,70,65.9,63,64,59.1,55,88,79.1,68,24,24,24,29.6,29.5,29.4,0.0,11263166.0
2018-09-30,68,63.7,61,63,57.9,54,94,81.7,72,17,17,17,29.6,29.4,29.3,0.0,11146069.0
2018-10-01,73,66.3,61,61,57.5,52,88,74.0,56,14,14,14,29.6,29.6,29.5,0.0,10825178.0
2018-10-02,77,68.3,57,57,53.6,48,82,60.7,41,15,15,15,29.7,29.7,29.6,0.0,10990793.0
2018-10-03,79,68.3,61,68,60.6,55,94,78.0,47,12,12,12,29.8,29.8,29.7,0.0,7411423.0
2018-10-04,77,68.4,63,64,61.0,57,94,77.4,65,23,23,23,30.0,29.9,29.8,0.0,9514798.0
2018-10-05,72,67.9,64,59,47.5,39,78,49.5,31,23,23,23,30.0,30.0,29.9,0.0,10473360.0
2018-10-06,72,66.1,63,54,49.3,46,64,55.6,43,24,24,24,30.0,29.9,29.8,0.0,10377226.0
2018-10-07,73,64.9,57,57,52.4,48,94,64.9,47,16,16,16,29.8,29.7,29.7,0.0,10176323.0
2018-10-08,73,63.8,54,57,54.3,52,94,72.7,50,18,18,18,29.7,29.7,29.7,0.0,10814171.0
2018-10-09,73,66.5,59,54,51.2,48,77,58.3,44,24,24,24,29.8,29.7,29.7,0.0,10453630.0
2018-10-10,72,66.7,64,52,48.4,45,64,52.3,40,26,26,26,29.8,29.8,29.8,0.0,10395472.0
2018-10-11,73,67.4,63,54,49.9,46,64,54.0,41,24,24,24,29.8,29.8,29.8,0.0,10605555.0
2018-10-12,70,64.7,63,57,54.3,52,77,68.1,53,17,17,17,29.8,29.8,29.8,0.0,10199464.0
2018-10-13,70,66.1,64,57,54.9,54,73,67.0,60,25,25,25,29.8,29.8,29.8,0.0,10444342.0
2018-10-14,70,65.2,63,57,54.5,54,77,68.3,56,23,23,23,29.8,29.8,29.8,0.0,10573023.0
2018-10-15,66,63.7,61,57,54.9,52,82,73.2,64,14,14,14,29.8,29.8,29.8,0.0,10369943.0
2018-10-16,72,65.9,61,57,53.1,46,77,63.5,53,18,18,18,29.8,29.8,29.8,0.0,9585284.0
2018-10-17,72,66.5,61,55,51.4,45,72,58.4,49,22,22,22,29.8,29.7,29.7,0.0,9768483.0
2018-10-18,72,65.5,59,59,55.4,52,88,70.3,57,17,17,17,29.7,29.7,29.6,0.0,9492324.0
2018-10-19,72,63.3,54,59,55.8,52,94,77.4,57,16,16,16,29.7,29.7,29.7,0.0,7743696.0
2018-10-20,73,63.6,54,59,55.9,52,94,77.4,57,15,15,15,29.7,29.7,29.7,0.0,10029987.0
2018-10-21,70,64.3,59,59,54.2,52,88,70.0,53,20,20,20,29.7,29.7,29.7,0.0,10163172.0
2018-10-22,68,63.8,61,55,53.6,50,82,69.7,63,22,22,22,29.7,29.7,29.7,0.0,11005018.0
2018-10-23,66,63.8,63,59,56.1,54,83,76.6,68,16,16,16,29.7,29.6,29.6,0.0,10784392.0
2018-10-24,70,63.5,55,55,53.9,52,88,71.3,60,21,21,21,29.6,29.4,29.4,0.0,10412668.0
2018-10-25,63,58.0,45,55,36.6,28,94,48.2,29,24,24,24,29.8,29.6,29.4,0.0,10834053.0
2018-10-26,72,56.7,39,48,39.0,32,81,54.2,31,9,9,9,29.8,29.8,29.7,0.0,11075567.0
2018-10-27,75,63.2,52,57,51.0,45,88,66.3,41,12,12,12,29.8,29.8,29.8,0.0,10400729.0
2018-10-28,73,65.8,59,59,56.1,54,88,72.3,57,17,17,17,29.9,29.9,29.8,0.0,10120794.0
2018-10-29,73,63.8,54,59,55.2,50,88,74.5,53,12,12,12,29.9,29.8,29.8,0.0,10024476.0
2018-10-30,72,64.4,54,63,57.8,52,94,79.6,64,13,13,13,29.9,29.8,29.8,0.0,8286128.0
2018-10-31,77,67.0,61,64,61.1,59,94,80.9,61,9,9,9,29.9,29.9,29.8,0.0,8295649.0
2018-11-01,77,66.1,57,63,60.0,55,100,82.2,53,17,17,17,30.0,29.9,29.9,0.0,10120224.0
2018-11-02,75,64.0,55,59,55.4,52,100,75.7,44,20,20,20,29.9,29.9,29.8,0.0,10159720.0
2018-11-03,70,63.3,54,55,52.3,48,82,67.8,56,24,24,24,29.8,29.8,29.8,0.0,10133531.0
2018-11-04,68,62.0,52,52,48.9,45,77,62.9,52,28,28,28,29.8,29.8,29.8,0.0,10524543.0
2018-11-05,68,59.4,48,55,50.1,43,87,71.9,60,22,22,22,29.8,29.8,29.8,0.0,10217244.0
2018-11-06,66,60.9,57,52,49.8,48,77,67.0,52,24,24,24,29.8,29.8,29.7,0.0,9885656.0
2018-11-07,68,62.0,55,54,50.9,48,77,67.2,56,22,22,22,29.8,29.8,29.8,0.0,10037316.0
2018-11-08,66,57.0,48,54,49.5,45,94,77.0,52,10,10,10,29.8,29.8,29.8,0.0,8418066.0
2018-11-09,66,59.0,54,54,48.8,45,82,68.9,56,24,24,24,29.8,29.8,29.7,0.0,9454056.0
2018-11-10,66,58.5,52,52,47.5,45,88,68.0,52,20,20,20,29.8,29.8,29.7,0.0,10160195.0
2018-11-11,66,55.2,45,50,46.4,41,93,73.5,56,18,18,18,29.9,29.8,29.8,0.0,10248096.0
2018-11-12,66,58.1,48,50,46.7,43,82,66.3,52,21,21,21,30.0,30.0,29.9,0.0,7450920.0
2018-11-13,63,59.5,57,46,44.7,41,67,58.2,45,32,32,32,30.0,29.9,29.9,0.0,10447981.0
2018-11-14,61,56.7,54,46,45.0,43,72,64.7,59,26,26,26,30.0,29.9,29.8,0.0,8272795.0
2018-11-15,63,56.5,52,48,44.2,41,77,63.3,45,21,21,21,29.8,29.8,29.8,0.0,10149549.0
2018-11-16,55,54.0,50,41,38.5,36,71,56.5,51,22,22,22,29.9,29.9,29.8,0.0,8172781.0
2018-11-17,55,53.1,48,48,44.5,39,87,73.2,54,18,18,18,29.8,29.8,29.8,0.0,10258015.0
2018-11-18,57,54.5,52,54,49.5,46,88,83.9,77,17,17,17,29.8,29.6,29.5,0.0,7832072.0
2018-11-19,68,60.7,54,59,54.9,52,94,81.9,60,9,9,9,29.7,29.6,29.4,0.0,10392748.0
2018-11-20,68,59.6,54,61,56.5,52,100,89.6,73,9,9,9,29.8,29.7,29.7,0.0,10390478.0
2018-11-21,72,63.6,55,57,52.9,46,94,70.0,46,16,16,16,29.7,29.6,29.5,0.0,9119733.0
2018-11-22,66,58.3,50,52,48.6,45,82,70.7,49,17,17,17,29.8,29.7,29.6,0.0,7359626.0
2018-11-23,59,55.0,52,50,46.1,41,82,72.5,63,17,17,17,29.9,29.9,29.8,0.0,8069412.0
2018-11-24,59,52.1,45,45,42.4,41,87,69.6,59,17,17,17,29.9,29.9,29.9,0.0,8120157.0
2018-11-25,63,53.0,41,57,47.3,39,94,82.1,67,16,16,16,29.9,29.8,29.6,0.0,7899173.0
2018-11-26,68,64.4,61,59,56.3,48,88,75.6,52,24,24,24,29.6,29.5,29.4,0.0,7809238.0
2018-11-27,70,65.0,61,59,57.7,55,88,77.7,64,25,25,25,29.5,29.4,29.4,0.0,7872800.0
2018-11-28,66,59.9,54,57,48.6,43,88,67.3,45,14,14,14,29.5,29.4,29.4,0.0,8687267.0
2018-11-29,55,48.7,46,50,42.2,37,88,78.2,71,31,31,31,29.8,29.7,29.5,0.0,8655116.0
2018-11-30,50,46.2,45,41,37.7,36,81,72.7,62,30,30,30,29.8,29.8,29.7,0.0,9184698.0
2018-12-01,54,47.7,39,41,36.6,32,81,66.2,47,9,9,9,29.8,29.8,29.8,0.0,9160288.0
2018-12-02,54,50.3,46,41,39.5,37,81,67.2,54,15,15,15,29.8,29.8,29.8,0.0,9044370.0
2018-12-03,59,48.5,37,45,38.9,32,87,70.0,51,14,14,14,29.8,29.7,29.6,0.0,8077731.0
2018-12-04,59,48.6,37,45,39.5,34,93,72.3,51,12,12,12,29.7,29.6,29.5,0.0,7935061.0
2018-12-05,61,54.2,50,48,42.1,39,77,63.9,55,17,17,17,29.7,29.6,29.6,0.0,7774795.0
2018-12-06,52,48.2,46,45,39.1,36,81,70.7,62,20,20,20,29.8,29.8,29.7,0.0,7190344.0
2018-12-07,52,45.8,36,37,35.4,32,87,67.3,54,18,18,18,29.9,29.9,29.8,0.0,7376421.0
2018-12-08,59,44.9,28,43,35.9,27,100,73.1,48,14,14,14,29.8,29.7,29.6,0.0,7351447.0
2018-12-09,64,56.4,46,46,43.5,37,87,63.7,40,16,16,16,29.6,29.5,29.5,0.0,7345931.0
2018-12-10,63,55.5,48,48,40.6,32,77,57.8,36,18,18,18,29.5,29.4,29.3,0.0,7357407.0
2018-12-11,52,46.7,39,41,36.3,32,93,68.2,47,9,9,9,29.7,29.6,29.5,0.0,10363877.0
2018-12-12,54,44.9,39,39,32.1,28,93,62.9,41,8,8,8,29.8,29.8,29.7,0.0,7187105.0
2018-12-13,50,43.8,34,45,39.7,32,93,84.9,71,16,16,16,29.8,29.8,29.7,0.0,9372206.0
2018-12-14,59,51.7,43,52,47.7,41,100,85.8,72,7,7,7,29.8,29.7,29.7,0.0,9393859.0
2018-12-15,66,57.1,50,54,49.4,46,94,76.7,52,18,18,18,29.7,29.7,29.6,0.0,9490958.0
2018-12-16,61,53.9,46,52,47.9,45,100,80.5,72,12,12,12,29.6,29.5,29.5,0.0,9280392.0
2018-12-17,57,48.2,41,46,42.5,39,100,81.5,55,7,7,7,29.7,29.6,29.6,0.0,8203285.0
2018-12-18,54,49.8,46,48,43.3,39,94,78.7,66,18,18,18,29.7,29.6,29.6,0.0,9397760.0
2018-12-19,48,45.9,45,41,39.3,37,81,77.7,66,17,17,17,30.0,29.8,29.7,0.0,9277663.0
2018-12-20,52,46.7,37,41,38.9,36,93,74.6,66,13,13,13,30.0,30.0,29.9,0.0,8379613.0
2018-12-21,57,45.7,36,43,39.1,32,93,79.3,55,5,5,5,30.1,30.0,30.0,0.0,9478605.0
2018-12-22,61,50.0,37,46,42.2,36,100,76.3,52,13,13,13,30.0,29.9,29.8,0.0,9431234.0
2018-12-23,63,53.2,41,45,41.9,37,87,66.2,48,9,9,9,29.9,29.8,29.8,0.0,9471819.0
2018-12-24,63,51.5,37,50,43.4,34,93,75.5,55,16,16,16,29.9,29.8,29.6,0.0,9198300.0
2018-12-25,59,48.9,43,50,41.4,36,88,75.5,66,20,20,20,29.8,29.7,29.6,0.0,8497866.0
2018-12-26,46,42.4,39,36,31.3,25,81,65.5,49,22,22,22,29.9,29.9,29.8,0.0,8427765.0
2018-12-27,50,44.9,37,36,30.0,27,71,56.4,43,16,16,16,29.9,29.9,29.8,0.0,8349911.0
2018-12-28,52,46.0,39,37,35.8,34,81,66.9,54,9,9,9,29.9,29.9,29.8,0.0,9474732.0
2018-12-29,59,45.6,32,39,34.1,28,93,67.6,39,17,17,17,29.8,29.8,29.8,0.0,9517227.0
2018-12-30,52,49.3,46,39,36.3,32,76,61.6,47,10,10,10,29.9,29.8,29.8,0.0,9473104.0
2018-12-31,50,46.5,41,43,39.8,37,87,77.8,66,21,21,21,29.8,29.7,29.6,0.0,9460462.0
2019-01-01,48,45.9,45,43,39.6,37,93,78.4,71,29,29,29,29.7,29.6,29.6,0.0,9507273.0
2019-01-02,48,44.5,32,37,34.3,30,93,67.2,57,21,21,21,29.6,29.6,29.5,0.0,9454847.0
2019-01-03,45,40.7,30,41,34.0,27,93,78.6,61,15,15,15,29.5,29.4,29.3,0.0,9297231.0
2019-01-04,46,40.8,32,37,33.4,28,93,75.5,65,13,13,13,29.7,29.7,29.5,0.0,8494278.0
2019-01-05,45,37.9,32,36,28.7,25,93,70.8,46,13,13,13,29.6,29.6,29.6,0.0,9385594.0
2019-01-06,48,40.6,34,27,21.6,12,65,49.0,25,12,12,12,29.6,29.6,29.5,0.0,9397504.0
2019-01-07,43,38.6,34,32,26.9,23,87,63.1,49,21,21,21,29.8,29.7,29.6,0.0,8785502.0
2019-01-08,41,34.8,25,30,25.5,21,93,70.3,49,16,16,16,29.8,29.8,29.7,0.0,8390469.0
2019-01-09,55,43.0,25,48,33.8,21,93,70.8,57,35,35,35,29.7,29.6,29.3,0.0,8012006.0
2019-01-10,61,55.7,52,48,45.0,41,82,68.3,51,32,32,32,29.5,29.4,29.4,0.0,9345059.0
2019-01-11,57,52.3,46,46,43.2,39,87,71.6,55,18,18,18,29.6,29.6,29.5,0.0,8697548.0
2019-01-12,48,45.8,43,46,39.8,34,100,80.1,62,18,18,18,29.6,29.5,29.4,0.0,8692761.0
2019-01-13,52,46.2,43,37,34.4,32,76,63.6,50,14,14,14,29.5,29.5,29.4,0.0,8680695.0
2019-01-14,54,46.7,39,41,37.6,36,87,72.5,51,12,12,12,29.4,29.3,29.2,0.0,7697970.0
2019-01-15,48,44.2,37,41,29.5,16,87,58.9,34,24,24,24,29.6,29.3,29.1,0.0,8688761.0
2019-01-16,52,42.3,36,30,22.3,18,81,47.0,30,21,21,21,29.8,29.7,29.6,0.0,7679913.0
2019-01-17,59,45.3,34,37,31.4,25,81,60.5,34,12,12,12,29.8,29.8,29.8,0.0,8690671.0
2019-01-18,59,48.0,37,45,37.9,32,87,69.4,48,12,12,12,29.8,29.8,29.7,0.0,8862884.0
2019-01-19,57,47.6,39,48,41.0,34,88,78.1,59,12,12,12,29.8,29.7,29.7,0.0,8724562.0
2019-01-20,61,51.3,41,46,43.4,37,93,75.4,52,16,16,16,29.7,29.7,29.6,0.0,8681449.0
2019-01-21,59,49.6,41,46,43.4,37,93,79.8,63,9,9,9,29.7,29.7,29.6,0.0,8640109.0
2019-01-22,61,51.3,41,50,44.9,39,93,80.0,63,21,21,21,29.7,29.6,29.5,0.0,8671944.0
2019-01-23,63,56.8,50,52,47.3,37,88,71.9,39,25,25,25,29.5,29.4,29.1,0.0,8517510.0
2019-01-24,59,52.8,48,45,42.5,34,87,68.9,39,21,21,21,29.2,29.1,29.1,0.0,7970105.0
2019-01-25,59,53.6,50,48,44.6,41,87,72.1,55,32,32,32,29.2,29.1,29.0,0.0,8179065.0
2019-01-26,55,51.8,45,45,43.5,39,87,73.3,54,16,16,16,29.3,29.1,29.0,0.0,7777757.0
2019-01-27,55,46.8,39,43,38.8,37,100,76.4,51,10,10,10,29.5,29.4,29.3,0.0,7795001.0
2019-01-28,59,49.5,36,48,41.5,34,93,75.3,51,20,20,20,29.5,29.4,29.4,0.0,7798716.0
2019-01-29,64,58.5,55,48,44.5,39,77,59.9,42,24,24,24,29.4,29.4,29.3,0.0,7790757.0
2019-01-30,59,52.9,48,46,43.1,41,87,69.5,51,20,20,20,29.4,29.3,29.2,0.0,7789028.0
2019-01-31,57,50.9,43,46,38.9,32,87,65.3,44,26,26,26,29.6,29.4,29.3,0.0,7567559.0
2019-02-01,61,53.4,46,45,39.9,36,82,61.1,48,16,16,16,29.8,29.7,29.6,0.0,6998091.0
2019-02-02,63,52.2,43,52,44.3,37,88,76.1,52,18,18,18,29.8,29.7,29.7,0.0,7487642.0
2019-02-03,64,57.3,50,54,50.3,46,88,78.2,59,14,14,14,29.8,29.7,29.7,0.0,7509806.0
2019-02-04,63,56.8,52,52,49.9,48,88,78.6,63,9,9,9,29.8,29.7,29.7,0.0,7498388.0
2019-02-05,61,56.9,55,52,49.4,45,88,75.8,63,29,29,29,29.7,29.6,29.4,0.0,9489340.0
2019-02-06,54,50.2,46,50,44.8,41,94,81.6,71,26,26,26,29.6,29.5,29.4,0.0,9499302.0
2019-02-07,50,47.6,46,46,41.9,37,93,80.2,71,23,23,23,29.7,29.6,29.6,0.0,9485192.0
2019-02-08,50,46.6,43,39,36.5,34,81,68.6,58,17,17,17,29.8,29.7,29.7,0.0,8001484.0
2019-02-09,52,46.0,39,39,36.4,34,81,69.5,58,13,13,13,29.8,29.8,29.8,0.0,9484349.0
2019-02-10,55,45.2,36,43,37.0,32,87,74.4,54,8,8,8,29.9,29.8,29.8,0.0,9500488.0
2019-02-11,61,54.4,45,46,43.0,39,82,66.0,48,18,18,18,29.8,29.7,29.6,0.0,9458230.0
2019-02-12,61,55.0,50,50,44.1,37,87,67.8,45,28,28,28,29.7,29.6,29.4,0.0,10398203.0
2019-02-13,48,43.9,43,37,35.9,34,81,74.0,62,33,33,33,29.7,29.7,29.7,0.0,10908968.0
2019-02-14,50,45.6,43,37,32.3,25,81,61.9,40,37,37,37,29.8,29.8,29.7,0.0,9996416.0
2019-02-15,48,44.5,41,37,34.6,30,81,68.3,53,32,32,32,29.8,29.8,29.8,0.0,10986569.0
2019-02-16,46,44.4,43,37,35.7,34,81,71.5,62,29,29,29,30.0,29.9,29.8,0.0,9502556.0
2019-02-17,52,46.8,37,36,33.7,30,76,60.4,50,23,23,23,30.0,29.9,29.9,0.0,9497270.0
2019-02-18,59,46.6,32,43,35.3,28,87,67.3,41,13,13,13,29.9,29.9,29.9,0.0,9362747.0
2019-02-19,59,47.0,32,45,38.4,30,93,73.8,48,9,9,9,29.9,29.9,29.8,0.0,8125516.0
2019-02-20,61,49.3,36,48,41.7,34,94,76.2,55,7,7,7,29.8,29.8,29.8,0.0,7279607.0
2019-02-21,61,49.6,37,45,40.2,36,93,72.6,42,16,16,16,29.9,29.9,29.8,0.0,8098385.0
2019-02-22,61,49.0,34,46,40.1,32,93,74.1,39,13,13,13,29.9,29.7,29.6,0.0,9988978.0
2019-02-23,52,44.1,37,48,39.2,34,93,82.4,66,35,35,35,29.8,29.7,29.6,0.0,10989964.0
2019-02-24,39,38.1,37,34,32.0,28,87,78.0,65,35,35,35,30.0,29.9,29.8,0.0,10987852.0
2019-02-25,45,41.4,37,36,32.5,30,81,70.8,66,35,35,35,30.0,29.9,29.8,0.0,10487933.0
2019-02-26,57,48.3,43,36,33.5,30,76,57.5,36,29,29,29,29.8,29.7,29.6,0.0,10788635.0
2019-02-27,52,48.1,41,39,34.1,28,81,58.7,41,25,25,25,29.8,29.6,29.6,0.0,10496114.0
2019-02-28,55,47.6,37,39,33.0,28,81,58.4,38,17,17,17,29.8,29.8,29.6,0.0,9317372.0
2019-03-01,66,52.8,39,45,38.9,34,87,61.5,30,15,15,15,29.6,29.6,29.5,0.0,10369453.0
2019-03-02,66,56.0,48,48,42.5,37,82,62.2,37,12,12,12,29.5,29.4,29.4,0.0,10396761.0
2019-03-03,57,52.8,46,46,41.5,37,82,66.1,51,22,22,22,29.8,29.7,29.5,0.0,10399389.0
2019-03-04,57,48.5,37,39,35.8,32,81,62.9,38,9,9,9,29.8,29.7,29.7,0.0,10379240.0
2019-03-05,64,51.3,37,46,40.8,36,93,70.2,42,17,17,17,29.7,29.7,29.6,0.0,10007592.0
2019-03-06,70,58.5,50,48,44.9,43,82,61.8,40,14,14,14,29.8,29.8,29.7,0.0,10888551.0
2019-03-07,70,55.8,39,52,43.7,36,87,66.0,35,12,12,12,29.9,29.9,29.8,0.0,10889478.0
2019-03-08,70,56.5,45,50,45.6,34,93,69.8,27,14,14,14,29.9,29.8,29.8,0.0,11299239.0
2019-03-09,70,58.4,46,45,40.6,36,81,53.6,28,15,15,15,29.9,29.9,29.8,0.0,12267143.0
2019-03-10,73,61.9,50,46,39.8,36,67,46.6,27,14,14,14,29.8,29.8,29.7,0.0,12000172.0
2019-03-11,72,63.0,54,46,40.9,36,55,44.9,33,22,22,22,29.7,29.6,29.5,0.0,12383898.0
2019-03-12,63,58.8,55,52,47.6,43,77,67.0,48,26,26,26,29.5,29.4,29.3,0.0,12491490.0
2019-03-13,54,48.3,46,46,40.1,36,87,73.3,62,30,30,30,29.7,29.5,29.3,0.0,12790885.0
2019-03-14,57,49.0,37,48,39.3,32,88,70.0,51,10,10,10,29.6,29.6,29.4,0.0,12007937.0
2019-03-15,54,49.4,45,46,42.2,36,93,76.6,62,13,13,13,29.6,29.5,29.4,0.0,12305885.0
2019-03-16,64,52.5,37,43,36.4,32,87,57.1,32,17,17,17,29.7,29.7,29.6,0.0,12324388.0
2019-03-17,70,57.6,45,48,41.9,39,81,58.3,33,15,15,15,29.8,29.7,29.7,0.0,12262812.0
2019-03-18,68,56.3,45,50,44.6,39,82,66.8,40,15,15,15,29.7,29.7,29.6,0.0,11376321.0
2019-03-19,64,55.5,43,50,45.9,41,93,71.4,49,9,9,9,29.8,29.7,29.6,0.0,9994265.0
2019-03-20,63,55.9,45,50,47.0,43,93,73.0,59,21,21,21,29.9,29.8,29.7,0.0,9196335.0
